BARCODE,BRAND_CODE,CATEGORY,NAME
511111200802,IMPERIAL,Dairy,IMPERIAL
511111103936,MUG ROOT BEER,Beverages,Mug Root Beer
511111210917,TAYLOR,Wine,TAYLOR? NEW YORK
511111400486,SPITZ,Snacks,SPITZ
511111104537,KETTLE BRAND,Snacks,Kettle Brand
511111409212,YORK,Candy & Sweets,York
511111601166,PHILADELPHIA,Dairy & Refrigerated,Philadelphia? Cream Cheese
511111008224,KAHLUA,Spirits,Kahlua?
511111711179,BOB EVANS,Dairy & Refrigerated,Bob Evans? Dinner Sides
511111907008,ARMOUR STAR,Canned Goods & Soups,Armour Star?
511111302858,TOMBSTONE,Frozen,Tombstone
511111101734,DOLE,Beverages,Dole Drinks
511111500896,CLEAR,Personal Care,Clear
511111712824,COSTCO,Retailers,Costco
511111015468,CRUSH,Beverages,Crush Soda
511111209348,SEVENTH GENERATION HAND SOAP,Household,Seventh Generation Hand Soap
511111611325,BOSTON MARKET,Restaurants,Boston Market
511111807056,BIRDS EYE,Frozen,Birds Eye?
511111801757,CHESTER'S,Snacks,Chester's
511111402688,NATURE'S BAKERY,Snacks,Nature's Bakery
511111209850,MUSCLE MILK,Beverages,Muscle Milk
511111611998,ALBERTSONS,Retailers,Albertsons
511111904663,KLEENEX,Household,Kleenex
511111110385,BLACKSTONE,Wine,BLACKSTONE?
511111804550,POP SECRET,Snacks,POP SECRET
511111503255,,,Corn Flakes
511111302346,CRYSTAL LIGHT,Beverages,Crystal Light
511111911180,BLUE DIAMOND ALMONDS,Snacks,Blue Diamond Almonds
511111403791,DR PEPPER,Beverages,Dr Pepper
511111103653,GOLD MEDAL,Personal Care,Gold Medal
511111806899,CLOROX,Cleaning & Home Improvement,Clorox
511111811350,CHOMPS,Snacks,Chomps
511111507567,OROWEAT,Bread & Bakery,Oroweat
511111902690,KRAFT,Dairy & Refrigerated,Kraft
511111804048,,,Eggo
511111607748,HOLSUM,Bread & Bakery,Holsum
511111504139,PACE,Grocery,Pace
511111908760,SPLENDA STEVIA,Grocery,Splenda Stevia
511111100782,KNORR,Grocery,Knorr
511111607816,SARGENTO,Dairy & Refrigerated,Sargento?
511111704706,SCOTT,Household,Scott? Brand
511111800644,ZIMA,"Beer, Hard Cider & Seltzer",Zima
511111401155,CLAUSSEN,Deli,Claussen
511111107194,HEALTHY CHOICE,Frozen,Healthy Choice?
511111003038,SPRITE,Beverages,Sprite
511111107477,GERBER GOOD START,Baby,Gerber Good Start
511111201120,CORN NUTS,Snacks,Corn Nuts
511111606864,GLAD,Cleaning & Home Improvement,Glad Trash Bags & Food Storage
511111105480,ONE,Beverages,O.N.E. Coconut Water
511111001485,TOSTITOS,Snacks,Tostitos
511111204206,SWANSON,Canned Goods & Soups,Swanson
511111503972,PEPSI,Beverages,Pepsi
511111107521,SARA LEE,Bread & Bakery,Sara Lee Bread
511111401087,HP,Condiments & Sauces,HP Sauce
511111204923,CHESTERS,Snacks,CHESTER'S
511111307112,DUKES,Meat & Seafood,Duke's?
511111204084,BOLTHOUSE FARMS,Grocery,Bolthouse Farms
511111312666,BEECHNUT,Baby,Beech-Nut
511111201915,TACO BELL,Grocery,Taco Bell
511111315001,LIFESAVERS,Gum & Mints,LIFESAVERS?
511111209782,RATIO,Breakfast & Cereal,Ratio
511111301691,IZZE,Beverages,IZZE
511111214960,MARS,Candy & Chocolate,MARS?
511111208259,MALIBU,Spirits,Malibu? 
511111915355,SARA LEE POP UP,Bread & Bakery,SARA LEE
511111005377,MODERN FARMHOUSE,Magazines,Modern Farmhouse Magazine
511111802563,GATORADE,Beverages,GATORADE
511111509271,WHATCHAMACALLIT,Candy & Sweets,Whatchamacallit
511111707875,PILLSBURY,Baking,Pillsbury
511111507284,MARIE CALLENDER'S,Frozen,Marie Callender's?
511111104308,V8 SPLASH,Beverages,V8 Splash
511111309031,SENSODYNE,,SENSODYNE
511111303176,,,Froot Loops
511111704867,SIR KENSINGTONS,Condiments & Sauces,Sir Kensington's
511111808657,SEAGRAMS GIN,Spirits,Seagrams Gin
511111206101,YOPLAIT GOGURT,Dairy & Refrigerated,Yoplait Go-GURT
511111605980,GOODBELLY,Dairy & Refrigerated,Goodbelly Probiotics
511111711940,OLIVE GARDEN,Restaurants,Olive Garden
511111207375,REDDI WIP,Dairy & Refrigerated,Reddi-wip?
511111207658,STROEHMANN,Bread & Bakery,Stroehmann Bread
511111009054,VEGGIES MADE GREAT,,VEGGIES MADE GREAT
511111501770,CAP'N CRUNCH,Breakfast & Cereal,Cap'n Crunch
511111106876,BRITA,Household,Brita
511111304050,MONSTER,Beverages,Monster
511111107804,DOLLAR SHAVE CLUB,Personal Care,Dollar Shave Club
511111005650,ALKA SELTZER,Health & Wellness,Alka-Seltzer?
511111201632,NEAR EAST,Grocery,Near East
511111002369,COUNTRY TIME,Beverages,Country Time
511111301189,MAXWELL HOUSE,Beverages,Maxwell House
511111403630,CHEERIOS,Breakfast & Cereal,Cheerios
511111308874,GENERAL MILLS CEREAL,Breakfast & Cereal,General Mills Cereal
511111301462,TROPICANA,Beverages,Tropicana
511111300861,DOVE,Personal Care,Dove
511111302131,HEINZ,Condiments & Sauces,Heinz
511111700531,FRITO-LAY,Snacks,FRITO-LAY
511111106647,ANNIES HOMEGROWN,Grocery,Annie's Homegrown Mac & Cheese
511111614401,RACHAEL RAY NUTRISH,Pet,Rachael Ray Nutrish Cat Food & Treats
511111202516,,,Corona
511111401711,FUNYUNS,Snacks,Funyuns
511111003809,,Meat & Seafood,Johnsonville
511111101222,OSCAR MAYER,Deli,Oscar Mayer
511111003960,MOUNTAIN DEW,Beverages,Mountain Dew
511111311348,LITEHOUSE,Dairy & Refrigerated,Litehouse
511111406853,CLOROX 2,Household,Clorox 2
511111609940,TUTTOROSSO,Grocery,Tuttorosso
511111513292,PEETS COFFEE,Restaurants,Peet's Coffee
511111204718,VIVA,Household,Viva
511111903857,COORS LIGHT,"Beer, Hard Cider & Seltzer",Coors Light
511111104186,PACIFIC FOODS,Grocery,Pacific Foods
511111611042,HIGH LINER,Frozen,High Liner
511111103141,,,Krave
511111313823,PERDUE,Meat & Seafood,Perdue
511111909873,TOOTSIE ROLL,,Tootsie Roll
511111108849,BETTY CROCKER,Grocery,Betty Crocker
511111007579,BALL PARK,Bread & Bakery,Ball Park
511111601722,FRITOS,Snacks,Fritos
511111700692,SUAVE,Personal Care,Suave
511111215547,EL MONTEREY,Frozen,El Monterey
511111007418,SWISS MISS,Beverages,Swiss Miss?
511111606215,FRUIT BY THE FOOT,Snacks,Fruit by the Foot
511111509110,HERSHEYS,Candy & Sweets,Hershey's
511111102335,ORE-IDA,Frozen,Ore-Ida
511111903130,,,Frosted Flakes
511111804482,LATE JULY,Snacks,Late July
511111914983,SNICKERS,Candy & Chocolate,SNICKERS?
511111203995,MINUTE MAID,Beverages,Minute Maid
511111311416,CLIF KID,Snacks,Clif Kid
511111211952,CVS,Retailers,CVS
511111708476,BARILLA,Grocery,Barilla
511111100577,Q-TIPS,Personal Care,Q-TIPS
511111208976,KIND,Frozen,KIND
511111406419,LOREAL PARIS HAIR COLOR,Beauty,L'Or??al Paris Hair Color
511111301745,CRACKER JACK,Snacks,Cracker Jack
511111410201,MANISCHEWITZ,Wine,MANISCHEWITZ?
511111009610,COLGATE TOOTHPASTE,Oral Care,Colgate Toothpaste
511111611110,ARNOLD BROWNBERRY OROWEAT,Bread & Bakery,Arnold Brownberry Oroweat Bread
511111303503,,,Bacardi
511111601395,MILLER HIGH LIFE,"Beer, Hard Cider & Seltzer",Miller High Life
511111208464,BANZA,,Banza
511111308201,JAMESON,Spirits,Jameson?
511111309802,SENTRY,Retailers,SENTRY
511111403401,CASCADIAN FARM,Breakfast & Cereal,Cascadian Farm
511111908487,BROWNIE BRITTLE,Snacks,Brownie Brittle?
511111501107,PLANTERS,Snacks,Planters
511111305354,BUBLY,Beverages,Bubly Sparkling Water
511111800873,DEGREE,Personal Care,Degree
511111508441,KODIAK CAKES,Breakfast & Cereal,Kodiak Cakes
511111809180,REESES,Candy & Sweets,REESE'S
511111900825,HELLMANNS BEST FOODS,Condiments & Sauces,Hellmann's/Best Foods Mayo
511111100416,NUT HARVEST,Snacks,NUT HARVEST
511111403128,,,Raisin Bran
511111601678,LAYS,Snacks,Lay's
511111003199,,,Honey Smacks
511111613190,SUPERBIRD,"Beer, Hard Cider & Seltzer",Superbird
511111907237,KID CUISINE,Frozen,Kid Cuisine?
511111907398,SLIM JIM,Snacks,Slim Jim?
511111109167,MOUNDS,Candy & Sweets,Mounds
511111802846,DIGIORNO,Grocery,Digiorno
511111702221,ICEHOUSE,"Beer, Hard Cider & Seltzer",Icehouse
511111206330,DIPPIN DOTS,Breakfast & Cereal,Dippin Dots Cereal
511111101451,QUAKER,Breakfast & Cereal,Quaker
511111704140,PREGO,Condiments & Sauces,Prego
511111402190,CLASSICO,Condiments & Sauces,Classico
511111104469,LANCE,Snacks,Lance
511111311133,LYSOL NEUTRA-AIR,Cleaning & Home Improvement,LYSOL? NEUTRA-AIR
511111802792,MILLER LITE,"Beer, Hard Cider & Seltzer",Miller Lite
511111607465,GERBER BABY FOOD,Baby,Gerber Baby Food
511111708520,ENTENMANNS,Bread & Bakery,Entenmann's Sweet Baked Goods
511111315445,MARS WRIGLEY VARIETY PACK,Candy & Chocolate,MARS WRIGLEY VARIETY
511111807773,SAN LUIS,Bread & Bakery,San Luis Bread
511111815013,SKITTLES,Candy & Chocolate,SKITTLES?
511111502142,GREY POUPON,Condiments & Sauces,Grey Poupon
511111402961,FANTA,Beverages,Fanta
511111808374,NYX PROFESSIONAL MAKEUP,Beauty,NYX Professional Makeup
511111806660,TOTINOS,Frozen,Totino's
511111106715,SCHMIDT'S,Personal Care,Schmidt's Soaps
511111000884,COUNTRY CROCK,Dairy & Refrigerated,COUNTRY CROCK ORIGINAL
511111810193,GATORADE BARS,Snacks,Gatorade Bars
511111411192,TICONDEROGA,Household,Ticonderoga
511111803959,AQUAFINA,Beverages,Aquafina
511111905967,MOUNTAIN HIGH,Dairy & Refrigerated,Mountain High
511111607533,SARA LEE ARTESANO,Bread & Bakery,Sara Lee Artesano Bread
511111314868,EXTRA,Gum & Mints,EXTRA?
511111714460,DOLE FOODS,Grocery,Dole
511111013075,PROGRESSO,Grocery,Progresso
511111707202,HUNGRY MAN,Frozen,Hungry-Man?
511111303015,DASANI,Beverages,DASANI
511111300656,VASELINE,Personal Care,Vaseline
511111205500,SIERRA MIST,Beverages,Sierra Mist
511111606581,MOVO,Wine,MOVO Wine Spritzers
511111913733,SIMPLY SPIKED,"Beer, Hard Cider & Seltzer",Simply Spiked
511111006817,SCOOP AWAY,Pet,Scoop Away
511111709916,RED GOLD,Grocery,Red Gold 
511111001119,DORITOS,Snacks,Doritos
511111207580,BIMBO,Bread & Bakery,Bimbo Bread and Sweet Baked Goods
511111802358,CRACKER BARREL,Dairy,Cracker Barrel
511111914495,NEUTROGENA,Personal Care,Neutrogena
511111304265,MOMOFUKU,Condiments & Sauces,MOMOFUKU Sauce
511111615095,BUSH'S,Canned Goods & Soups,Bush's
511111808091,GAMESA,Snacks,Gamesa
511111311065,PANERA BREAD,Restaurants,Panera Bread
511111911302,BLUE BUFFALO,Pet,Blue Buffalo
511111906841,HIDDEN VALLEY,Condiments & Sauces,Hidden Valley Original Ranch
511111202004,LUNCHABLES,Deli,Lunchables
511111403845,BLUE MOON,"Beer, Hard Cider & Seltzer",Blue Moon
511111109235,CADBURY,Candy & Sweets,Cadbury
511111908043,SABRITAS,Snacks,Sabritas
511111411680,VITAL PROTEINS,Health & Wellness,Vital Proteins 
511111900771,LEVER 2000,Personal Care,LEVER 2000
511111405467,OCEAN SPRAY,Beverages,Ocean Spray Juices
511111700814,I CAN'T BELIEVE IT'S NOT BUTTER!,Dairy & Refrigerated,I CAN'T BELIEVE IT'S NOT BUTTER!
511111507079,BROOKS,Canned Goods & Soups,Brooks?
511111704096,CAMPBELLS,Canned Goods & Soups,Campbell's
511111406785,PUKKA,Beverages,Pukka
511111201564,RUFFLES,Snacks,Ruffles
511111903789,,Snacks,Keebler
511111102106,JET PUFFED,Baking,Jet-Puffed
511111103219,,,Rice Krispies
511111103585,CINNAMON TOAST CRUNCH,Breakfast & Cereal,Cinnamon Toast Crunch
511111503187,,,Corn Pops
511111008941,GOOD CULTURE,Dairy & Refrigerated,GOOD CULTURE
511111709633,BUBBLE YUM,Candy & Sweets,Bubble Yum
511111108566,GREEN WORKS,Cleaning & Home Improvement,Green Works?
511111307044,BIGS,Snacks,BIGS?
511111203278,,Snacks,Pringles
511111407010,BANQUET,Frozen,Banquet?
511111802129,JACK DANIEL'S BARBECUE,Condiments & Sauces,Jack Daniel's
511111002871,POWERADE ZERO,Beverages,Powerade Zero
511111201847,T.G.I. FRIDAY'S,Frozen,TGI Fridays
511111901587,RICE-A-RONI,Grocery,Rice A Roni
511111107033,BERTOLLI,Frozen,Bertolli?
511111309963,MARINELA,Bread & Bakery,Marinela Sweet Baked Goods
511111002086,KOOL-AID,Beverages,Kool-Aid
511111503811,,,Kemps
511111701903,WYLER'S,Grocery,Wyler's
511111606093,YOPLAIT,Dairy & Refrigerated,Yoplait
511111301974,NANCY'S,Frozen,Nancy's
511111701132,STOVE TOP,Grocery,Stove Top
511111207092,DAVID,Snacks,DAVID Seeds?
511111811565,WHATABURGER,Restaurants,Whataburger
511111000679,TIGI,Personal Care,TIGI
511111101895,A.1.,Condiments & Sauces,A.1.
511111909156,KIT KAT,Candy & Sweets,Kit Kat
511111202394,BAGEL BITES,Frozen,Bagel Bites
511111209133,JOLLY RANCHER,Candy & Sweets,Jolly Rancher
511111113188,RAGU,Condiments & Sauces,Ragu
511111709404,GOOD FOOD MADE SIMPLE,Frozen,Good Food Made Simple
511111803515,,,Michelob Ultra
511111901143,VELVEETA,Dairy,Velveeta
511111101505,SUNCHIPS,Snacks,Sun Chips
511111804277,JUST CRACK AN EGG,Breakfast & Cereal,JUST CRACK AN EGG Scramble Kit
511111812005,SAFEWAY,Retailers,Safeway
511111114628,KEEBLER,Snacks,Keebler
511111802402,BACK TO NATURE DINNERS,Grocery,Back to Nature Meals
511111304333,GOLDFISH,Snacks,Goldfish
511111300427,MUNCHOS,Snacks,MUNCHOS
511111807339,PF CHANGS,Frozen,P.F. Chang's Home Menu??
511111601951,POLLY-O,Dairy & Refrigerated,Polly-O
511111205890,ANNIE'S,Snacks,Annie's Homegrown
511111904458,EMERALD,Snacks,Emerald
511111015185,BIMBO POP UP,Bread & Bakery,BIMBO
511111901709,GRANDMA'S,Snacks,Grandma's
511111909590,COLGATE MOUTHWASH,Oral Care,Colgate Mouthwash
511111701620,PASTA RONI,Grocery,Pasta Roni
511111700029,PURE LEAF,Beverages,Pure Leaf
511111407454,WISHBONE,Condiments & Sauces,Wish-Bone?
511111112938,LAND O LAKES,Dairy & Refrigerated,Land O Lakes
511111603641,FIBER ONE,Health & Wellness,Fiber One
511111502371,COOL WHIP,Frozen,Cool Whip
511111400837,GOOD HUMOR,Frozen,Good Humor
511111500735,POPSICLE,Frozen,Popsicle
511111303893,BRISK,Beverages,Brisk
511111313496,TYSON,Meat & Seafood,Tyson
511111111542,SIMPLE MILLS,Baking,Simple Mills
511111800439,MUNCHIES,Snacks,MUNCHIES
511111705888,MOTTS,Snacks,Mott's Fruit Snacks
511111901938,KRAFT SHAKE 'N BAKE,Grocery,Shake N' Bake
511111306009,HONEY NUT CHEERIOS,Breakfast & Cereal,Honey Nut Cheerios
511111609018,PURELL,Personal Care,PURELL
511111010111,GALLO FAMILY VINEYARDS,Wine,GALLO FAMILY VINEYARDS
511111114413,JIMMY DEAN,Breakfast & Cereal,Jimmy Dean
511111900610,FDS,Beauty & Personal Care,FDS
511111602118,JELL-O,Baking,Jell-O
511111100850,DOVE MEN+CARE,Personal Care,Dove Men+Care
511111608578,TILEX,Cleaning & Home Improvement,Tilex?
511111603207,,,Nutri-Grain
511111306887,PINE SOL,Cleaning & Home Improvement,Pine-Sol
511111313106,ANNIES HOMEGROWN GROCERY,Grocery,Annie's Homegrown Grocery
511111314219,BIBIGO,Grocery,Bibigo
511111005421,PILLSBURY .,Magazines,Pillsbury Magazine
511111001768,CHEETOS,Snacks,Cheetos
511111213154,RUBBERMAID,Household,Rubbermaid
511111401643,NAKED,Beverages,Naked Juice
511111409700,EVOLVE,Beverages,Evolve
511111113027,GOLD MEDAL,Baking,GOLD MEDAL FLOUR
511111404002,BETTY CROCKER FRUIT SNACKS,Snacks,Betty Crocker Fruit Snacks
511111800927,BREYERS,Frozen,Breyers
511111013129,GODIVA,Baking,GODIVA BAKING MIXES
511111409588,HERSHEYS SYRUPS,Candy & Sweets,Hershey's Syrups
511111606659,OLD EL PASO,Grocery,Old El Paso
511111602323,SMART ONES,Frozen,Smart Ones
511111507123,DUNCAN HINES,Baking,Duncan Hines?
511111011088,ARM & HAMMER,Personal Care,Arm & Hammer
511111707080,CHEF BOYARDEE,Canned Goods & Soups,Chef Boyardee?
511111009498,HUNT'S,Condiments & Sauces,HUNT'S
511111006305,GENERAL MILLS CEREAL L,Breakfast & Cereal,"General Mills ""Big G"" Cereal"
511111913016,DUNKAROOS,Snacks,Dunkaroos
511111004561,SNYDERS OF HANOVER,Snacks,SNYDERS OF HANOVER
511111602767,,,Prairie Farms
511111200680,TALENTI,Frozen,Talenti
511111101178,MIO,Beverages,Mio
511111111269,SUBWAY,Restaurants,Subway
511111703266,,,Special K
511111504627,COTTONELLE,Household,Cottonelle
511111014959,M&M??S,Candy & Chocolate,M&M'S?
511111207702,ALFAROS,Bread & Bakery,Alfaros Bread
511111109679,HIDDEN VALLEY 2,Condiments & Sauces,HIDDEN VALLEY
511111004127,V8,Beverages,V8
511111302292,COORS BANQUET,"Beer, Hard Cider & Seltzer",Coors Banquet
511111607250,LIBBYS,Canned Goods & Soups,Libby's?
511111015024,STARBURST,Candy & Chocolate,STARBURST?
